File,SentenceID,ClauseType,HeadLemma,Aux_Head,HeadUPOS,ConjLemma,ConjForm,Aux_Conj
ZWY-K20_mptf.conllu,ZWY-K20-s50,root,xwadāyīh,-,NOUN,āwurdan,āwarēd,-
ZWY-K20_mptf.conllu,ZWY-K20-s52,root,xwadāyīh,-,NOUN,dwāristan,dwārēnd,-
ZWY-K20_mptf.conllu,ZWY-K20-s119,root,kam,-,ADJ,burdan,barēd,-
ZWY-K20_mptf.conllu,ZWY-K20-s159,root,sadgānag,bawēnd,ADJ,dāštan,dārēnd,-
ZWY-K20_mptf.conllu,ZWY-K20-s171,root,sidīgar,-,ADV,rasīdan,rasēd,-
ZWY-K20_mptf.conllu,ZWY-K20-s179,parataxis,kay2,-,PROPN,būdan,bawēd,-
ZWY-K43a_mptf.conllu,ZWY-K43a-s13,root,pādixšāyīh,-,NOUN,būdan,bawēd,-
ZWY-K43a_mptf.conllu,ZWY-K43a-s118,root,kam,-,ADJ,burdan,barēd,-
ZWY-K43a_mptf.conllu,ZWY-K43a-s135,root,rōšn,-,ADJ,kāstan,kāhēd,-
ZWY-K43a_mptf.conllu,ZWY-K43a-s135,root,rōšn,-,ADJ,āmadan,āyēd,-
ZWY-K43a_mptf.conllu,ZWY-K43a-s135,root,rōšn,-,ADJ,būdan,bawēd,-
ZWY-K43a_mptf.conllu,ZWY-K43a-s158,root,sadgānag,bawēnd,ADJ,dāštan,dārēnd,-
ZWY-K43a_mptf.conllu,ZWY-K43a-s170,root,sidīgar,-,ADV,rasīdan,rasēd,-
