Subject UPOS: ADJ, Subject Form: zarrēn | Newpart: zwy_ch3_sec23 | Sentence id: zwy-k20:41 | Text: ud ān ī zarrēn xwadāyīh wištāspšah ka man ud tō dēn ham pursēm
Subject UPOS: ADJ, Subject Form: asēmēn | Newpart: zwy_ch3_sec24 | Sentence id: zwy-k20:47 | Text: ud ān ī asēmēn xwadāyīh ī ardašīr ī kay ka wahman ī spandyādān xwānīhēd kē dēw az mardōmān ǰudāg kunēd be payrāyēd hamāg gēhān dēn rawāg kunēd
Subject UPOS: ADJ, Subject Form: rōyēn | Newpart: zwy_ch3_sec25 | Sentence id: zwy-k20:48 | Text: ud ān ī rōyēn xwadāyīh ī ardaxšīr gēhān ārāstār ud wirāstār ud ān ī šābūr šah ka gēhān ī man ohrmazd dād ārāyēd bōxtagīh pad sāmān ī gēhān rawāg kunēd ud wehīh paydāg be bawēd ud ādurbād ī pērōzbaxt ī dēnrāstwirāstār pad rōy ī passāxtag ēn dēn abāg ǰudristagān abāz ō rāstīh āwarēd
Subject UPOS: ADJ, Subject Form: brinǰēn | Newpart: zwy_ch3_sec26 | Sentence id: zwy-k20:49 | Text: ud ān ī brinǰēn xwadāyīh ī aškānān šah kē ǰudristagīhā bud az gēhān bē barēd ud ān ī druwand skandgar ī kalīsāgīh az ēn dēn be abesīhēd az gēhān wany ud apaydāg šawēd
Subject UPOS: ADJ, Subject Form: arzizēn | Newpart: zwy_ch3_sec27 | Sentence id: zwy-k20:50 | Text: ud ān ī arzizēn xwadāyīh ī wahrām ī gōr šah ka mēnōy ī rāmišn wēnāb paydāg kunēd ud ahriman abāg ǰādūgān abāz ō tār ud tom dwārēnd
Subject UPOS: ADJ, Subject Form: pōlāwadēn | Newpart: zwy_ch3_sec28 | Sentence id: zwy-k20:51 | Text: ud ān ī pōlāwadēn xwadāyīh ī husraw ī kawādān šah ka gizistag mazdīk ī bāmdādān ī dēn ī petyārag abāg ǰudristagān ēstēd az ēn dēn abāz dārēd
Subject UPOS: ADJ, Subject Form: āhenēn | Newpart: zwy_ch1_sec3 | Sentence id: zwy-k20:6 | Text: ēk zarrēn ud ēk asēmēn ēk pōlāwadēn ud ēk āhenēn abar gumēxt ēstād
Subject UPOS: DET, Subject Form: ān | Newpart: zwy_ch4_sec19 | Sentence id: zwy-k20:73 | Text: ka sad be stānēd nawad be kāhēd ud dah be abzāyēd ud ān ī be abzāyēd xwārom ud čāšnīg nē bawēd
Subject UPOS: ADJ, Subject Form: bondag | Newpart: zwy_ch4_sec26 | Sentence id: zwy-k20:84 | Text: ud andar ān ī škeft āwām spitāmān zardušt pādixšāyīh ī xešm ī xrudrafš ud dēw wizārdwars ī xešmtōhmag ān ī nidom bondag pad ērān dehān xwadāyīh frāz rawēnd
Subject UPOS: DET, Subject Form: ān | Newpart: zwy_ch4_sec31 | Sentence id: zwy-k20:89 | Text: pad sad pad hazār pad bēwar ēk ēw bawēd kē pad ēn dēn wurrōyēd ud ān =iz ka kār az =iš nē kunēd
Subject UPOS: ADJ, Subject Form: āzādagān | Newpart: zwy_ch4_sec36 | Sentence id: zwy-k20:96 | Text: ud āzādagān wuzurgān ud mowmardān bē ō škōhīh bandagīh rasēnd
Subject UPOS: X, Subject Form: § | Newpart: zwy_ch4_sec36 | Sentence id: zwy-k20:97 | Text: ud § ud xwurdag bē ō wuzurgīh ud pādixšāyīh rasēd
Subject UPOS: ADJ, Subject Form: nāčāragān | Newpart: zwy_ch4_sec36 | Sentence id: zwy-k20:98 | Text: nāčāragān ud xwurdagān bē ō pēšgāhīh rāyēnīdārīh rasēnd
Subject UPOS: ADJ, Subject Form: āzād | Newpart: zwy_ch4_sec54 | Sentence id: zwy-k43:120 | Text: ud āzād ud wuzurg ud dehīgān ī nēw az deh ud gyāg ī xwēš pad uzdeyīgīh az bungyāg ud dūdag ī xwēš bē šawēnd ud az xwurdagān wattarān tis pad niyāz dahēnd xwāhēnd ō driyōšīh ud ačāragīh rasēnd
Subject UPOS: ADJ, Subject Form: gōhrēwēnist | Newpart: zwy_ch4_sec57 | Sentence id: zwy-k43:123 | Text: spandarmad zamīg dahan abāz wišāyēd ud harw gōhrēwēnist ō paydāgīh rasēd čiyōn zarr ud asēm ud rōy ud arzīz
Subject UPOS: DET, Subject Form: ēn | Newpart: zwy_ch4_sec65 | Sentence id: zwy-k43:132 | Text: guft =iš ohrmazd ō spitāmān zarduxšt ēn ān ī pēš gōwam
Subject UPOS: ADJ, Subject Form: pahlom | Newpart: zwy_ch5_sec5 | Sentence id: zwy-k43:141 | Text: ahlaw ī ahlawān , pahlom ān bawēd kē pad wehdēn ī mazdēsnān estēd u =š dēn ī xwēdōdahīh pad dūdag rawēd
Subject UPOS: DET, Subject Form: ēn | Newpart: zwy_ch5_sec10 | Sentence id: zwy-k43:146 | Text: spitāmān zarduxšt ēn ān ī pēš gōwam
Subject UPOS: SCONJ, Subject Form: kē | Newpart: zwy_ch5_sec11 | Sentence id: zwy-k43:147 | Text: kē az astān ēdōn pad yazišn abar ō weh kē ohrmazd rāy yazišn wēš kunēd ohrmazd āgāh az ahlāyīh čēgāmizēw kū kār ud kirbag mizd ud pādāšn ahlāyīh dahēd
